restaurant_name,address,tags,lat,lon
JOHNNY'S REEF RESTAURANT,"2 CITY ISLAND AVE BRONX NY, 10464",Seafood,40.837616,-73.7829
TONY'S PIER RESTAURANT,"1 CITY ISLAND AVE BRONX NY, 10464",Seafood,40.837612,-73.78291
MORRIS YACHT & BEACH CLUB,"25 CITY ISLAND AVENUE BRONX NY, 10464",American,40.838177,-73.78311
LOBSTER BOX,"34 CITY ISLAND AVE BRONX NY, 10464",Seafood,40.838615,-73.783264
SAMMY'S FISHBOX,"41 CITY ISLAND AVE BRONX NY, 10464",Seafood,40.838947,-73.7834
SAMMY'S ORIGINAL SHRIMP BOX,"64 CITY ISLAND AVENUE BRONX NY, 10464",Seafood,40.839375,-73.78355
SCAVELLO'S ON THE ISLAND,"101 CITY ISLAND AVE BRONX NY, 10464",Italian,40.840664,-73.78404
CITY ISLAND YACHT CLUB,"63 PILOT STREET BRONX NY, 10464",American,40.840935,-73.78584
BISTRO SK,"273 CITY ISLAND AVENUE BRONX NY, 10464",French,40.84624,-73.78612
CLIPPER COFFEE,"274 CITY ISLAND AVE BRONX NY, 10464",Coffee/Tea,40.846302,-73.78613
THE BLACK WHALE,"279 CITY ISLAND AVE BRONX NY, 10464",American,40.84642,-73.786194
FILOMENAS PIZZA,"286 CITY ISLAND AVE BRONX NY, 10464",Pizza/Italian,40.846676,-73.78627
CITY ISLAND DINER /SNUG BAR,"304 CITY ISLAND AVE BRONX NY, 10464",American,40.847095,-73.78643
PAPA JOHN'S DELI,"325 CITY ISLAND AVENUE BRONX NY, 10464",Sandwiches,40.847706,-73.786674
CRAB SHANTY,"361 CITY ISLAND AVE BRONX NY, 10464",Seafood,40.848663,-73.78702
ARTIE'S,"394 CITY ISLAND AVE BRONX NY, 10464",Italian,40.849556,-73.78737
SEAFOOD  CITY,"459 CITY ISLAND AVENUE BRONX NY, 10464",Seafood,40.851093,-73.78843
OHANA JAPANESE HIBACHI SEAFOOD & STEAK,"500 CITY ISLAND AVE BRONX NY, 10464",Japanese,40.852085,-73.789116
AUGIES DELI & PIZZERIA,"520 CITY ISLAND AVE BRONX NY, 10464",Delicatessen,40.852512,-73.78941
ARCHIE'S TAP AND TABLE,"536 CITY ISLAND AVE BRONX NY, 10464",American,40.852856,-73.78966
JP'S WATERSIDE RESTAURANT,"703 MINNIEFORD AVE BRONX NY, 10464",Seafood,40.856865,-73.79048
CITY ISLAND LOBSTER HOUSE,"691 BRIDGE STREET BRONX NY, 10464",Seafood,40.85664,-73.79096
DUNKIN' DONUTS,"636 CITY ISLAND AVE BRONX NY, 10464",Donuts,40.855827,-73.79148
PORTOFINO RESTAURANT,"555 CITY ISLAND AVENUE BRONX NY, 10464",Italian,40.855797,-73.79213
VISTAMAR RESTAURANT,"565 CITY ISLAND AVE BRONX NY, 10464","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",40.855812,-73.79217
SEASHORE RESTAURANT,"591 CITY ISLAND AVE BRONX NY, 10464",Seafood,40.85585,-73.79227
THE LIBRARY/OUT TAKES QUICK CUISINE,"6 PENNYFIELD AVENUE BRONX NY, 10465",American,40.80919,-73.80207
MCMURRAY HALL (SUNY MARITIME),"6 PENNYFIELD AVENUE BRONX NY, 10465",American,40.80919,-73.80207
THE SUNY MARITIME U. VANDERCLUTE,"6 PENNYFIELD AVE BRONX NY, 10465",American,40.80919,-73.80207
SUNY MARITIME UNIVERSITY (S AND E CAFE),"6 PENNYFIELD AVENUE BRONX NY, 10465",Coffee/Tea,40.80919,-73.80207
PADDY'S ON THE BAY,"50 PENNYFIELD AVENUE BRONX NY, 10465",American,40.810028,-73.80373
